"","o__Acidaminococcales","o__Actinomycetales","o__Bacillales","o__Bacteroidales","o__Bifidobacteriales","o__Brachyspirales","o__Burkholderiales","o__Campylobacterales","o__Candidatus_Gastranaerophilales","o__Clostridiales","o__Coriobacteriales","o__Corynebacteriales","o__Desulfovibrionales","o__Eggerthellales","o__Enterobacterales","o__Erysipelotrichales","o__Firmicutes_unclassified","o__Fusobacteriales","o__Lactobacillales","o__Methanobacteriales","o__Methanomassiliicoccales","o__Micrococcales","o__Pasteurellales","o__Propionibacteriales","o__Proteobacteria_unclassified","o__Pseudomonadales","o__Selenomonadales","o__Synergistales","o__Tissierellales","o__Veillonellales","o__Verrucomicrobiales","o__Victivallales"
"24-tP",0.69122,0,0,55.70362,0,0,0.69084,0,0,30.81228,0.65734,0,0.15984,0.01479,0,0.02131,7.75911,0,0,1.46401,1.16679,0,0,0,0,0,0,0.85886,0,0,0,0
"3-rB",0.96732,0,0,63.97666,7.11103,0,0,0,0,18.50732,0.92721,0,1.33785,0.70657,0,0.40994,3.70578,0,1.57516,0,0,0,0,0,0,0,0,0.77516,0,0,0,0
"3-rP",1.63506,0,0,82.32858,0.67819,0,0,0,0,9.85556,0.54767,0,1.42908,0.68468,0.34137,0.42793,1.35794,0,0.69987,0,0,0,0,0,0,0,0,0.01406,0,0,0,0
"3-tB",0.348,0,0,78.06921,4.0442,0,0,0,0,11.92405,0.37864,0,0.65867,0.14809,0.08165,0.19907,0.84732,0,1.42167,0,0,0,0,0,0,0,0,1.87943,0,0,0,0
"5-rB",0,0,0,0.23361,8.72913,0,0,0,0,69.55456,15.2852,0,0,2.81052,0,1.26826,0.94467,0,1.17147,0,0,0,0,0,0,0,0.00257,0,0,0,0,0
"5-tB",0,0,0,41.6666,0.19831,0,0.03998,0,0,53.64034,2.38497,0,0.048,0.01816,0,0.17438,0.02324,0,0.35684,0,0,0,0,0,0.96733,0,0.48185,0,0,0,0,0
"5-tP",0,0,0,58.21966,0,0,0.0989,0,0,35.8989,2.6067,0,0,0.52219,0,0.81969,0.03488,0,0.02862,0,0,0,0,0,1.70012,0,0,0,0,0.07034,0,0
"52-rB",0,0,0,41.15802,4.58643,0,0.06532,0,0,43.40863,1.24715,0,0,1.06657,1.6691,0.24678,3.08539,0,0.12149,0,0,0,0,0,0,0,0,0.30482,0,0,3.04031,0
"52-rP",0,0,0,33.93879,3.25681,0,0.12554,0,0,55.82687,1.03447,0,0,0.68836,0,0.32948,2.76565,0,0.16528,0,0,0,0,0,0,0,0,0.05443,0,0.10401,1.7103,0
"52-tB",0,0,0,40.02185,1.42543,0,0,0,0,48.04734,1.92992,0,0,0.80719,0,0.15244,4.06845,0,0.07277,0,0,0,0,0,0,0,0,0.01933,0,0.6462,2.80908,0
