"","f__Acidaminococcaceae","f__Actinomycetaceae","f__Akkermansiaceae","f__Bacillales_unclassified","f__Bacteroidaceae","f__Barnesiellaceae","f__Bifidobacteriaceae","f__Brachyspiraceae","f__Campylobacteraceae","f__Candidatus_Gastranaerophilales_unclassified","f__Christensenellaceae","f__Clostridiaceae","f__Clostridiales_unclassified","f__Comamonadaceae","f__Coriobacteriaceae","f__Corynebacteriales_unclassified","f__Desulfovibrionaceae","f__Eggerthellaceae","f__Enterobacteriaceae","f__Enterococcaceae","f__Erysipelotrichaceae","f__Eubacteriaceae","f__Firmicutes_unclassified","f__Fusobacteriaceae","f__Hafniaceae","f__Lachnospiraceae","f__Lactobacillaceae","f__Methanobacteriaceae","f__Methanomassiliicoccaceae","f__Micrococcaceae","f__Odoribacteraceae","f__Oscillospiraceae","f__Oxalobacteraceae","f__Pasteurellaceae","f__Peptococcaceae","f__Peptoniphilaceae","f__Peptostreptococcaceae","f__Porphyromonadaceae","f__Prevotellaceae","f__Propionibacteriaceae","f__Proteobacteria_unclassified","f__Pseudomonadaceae","f__Rikenellaceae","f__Ruminococcaceae","f__Selenomonadaceae","f__Streptococcaceae","f__Sutterellaceae","f__Synergistaceae","f__Tannerellaceae","f__Veillonellaceae","f__Victivallaceae","f__Yersiniaceae"
"3-rB",0.96732,0,0,0,38.46333,0.41948,7.11103,0,0,0,0.0588,0.81722,0.15536,0,0.92721,0,1.33785,0.70657,0,0,0.40994,0.25869,3.70578,0,0,7.57588,0,0,0,0,0.38154,2.47789,0,0,0,0,0.19049,0,0,0,0,0,22.87073,6.97299,0,1.57516,0,0.77516,1.84159,0,0,0
"3-rP",1.63506,0,0,0,44.52973,1.17203,0.67819,0,0,0,0,0.69275,0,0,0.54767,0,1.42908,0.68468,0.34137,0,0.42793,0.32088,1.35794,0,0,3.45625,0,0,0,0,1.20946,0,0,0,0,0,0.23081,0,0,0,0,0,32.61127,5.15488,0,0.69987,0,0.01406,2.8061,0,0,0
"3-tB",0.348,0,0,0,39.25388,0.6213,4.0442,0,0,0,0,0.05513,0.17058,0,0.37864,0,0.65867,0.14809,0.08165,0,0.19907,0.09089,0.84732,0,0,4.28471,0.02199,0,0,0,1.00085,1.14438,0,0,0,0,0.06665,0,0,0,0,0,32.9385,6.11171,0,1.39968,0,1.87943,4.25468,0,0,0
"5-rB",0,0,0,0,0.14144,0,8.72913,0,0,0,0,0.06471,0.6321,0,15.2852,0,0,2.81052,0,0,1.26826,2.01699,0.94467,0,0,65.19392,0,0,0,0,0,0,0,0,0,0,0.01425,0,0,0,0,0,0.08947,1.6326,0.00257,1.17147,0,0,0.0027,0,0,0
"5-tB",0,0,0,0,38.00251,0,0.19831,0,0,0,0,4.72246,0.39887,0,2.38497,0,0.048,0.01816,0,0,0.17438,0.17832,0.02324,0,0,24.45954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96733,0,0,23.88115,0.48185,0.35684,0.03998,0,3.66409,0,0,0
"5-tP",0,0,0,0,56.12969,0,0,0,0,0,0,1.82735,0.49248,0,2.6067,0,0,0.52219,0,0,0.81969,0.45143,0.03488,0,0,21.00827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70012,0,0,12.11937,0,0.02862,0.0989,0,2.08997,0.07034,0,0
"52-rB",0,0,3.04031,0,23.58346,0.07419,4.58643,0,0,0,0.01565,1.03066,1.77922,0.06532,1.24715,0,0,1.06657,1.6691,0,0.24678,22.82961,3.08539,0,0,9.6508,0,0,0,0,0.5637,0,0,0,0,0,0.11695,0,0,0,0,0,16.93667,7.98574,0,0.12149,0,0.30482,0,0,0,0
"52-rP",0,0,1.7103,0,14.39345,0.09508,3.25681,0,0,0,0.00633,1.1895,3.45267,0.12554,1.03447,0,0,0.68836,0,0,0.32948,32.95358,2.76565,0,0,9.09163,0,0,0,0,0.44191,0,0,0,0,0,0.24454,0,0.02232,0,0,0,18.98602,8.88862,0,0.16528,0,0.05443,0,0.10401,0,0
"52-tB",0,0,2.80908,0,23.98837,0,1.42543,0,0,0,0,0.7532,0.84195,0,1.92992,0,0,0.80719,0,0,0.15244,25.47425,4.06845,0,0,14.27904,0,0,0,0,1.02803,0,0,0,0,0,0.26777,0,0,0,0,0,15.00545,6.43113,0,0.07277,0,0.01933,0,0.6462,0,0
"52-tP",0,0,3.00441,0,15.66294,0.00997,8.02508,0,0,0,0.03895,0.63423,1.66383,0.28539,1.03451,0,0,0.66055,0.19109,0,0.19281,24.66448,3.16978,0,0,10.58387,0.00635,0,0,0,0.30699,0,0,0,0,0,0.15119,0,0.17706,0,0,0,16.59662,10.68848,0,2.11193,0,0,0,0.1395,0,0
