"","c__Actinobacteria","c__Bacilli","c__Bacteroidia","c__Betaproteobacteria","c__Candidatus_Melainabacteria_unclassified","c__Clostridia","c__Coriobacteriia","c__Deltaproteobacteria","c__Epsilonproteobacteria","c__Erysipelotrichia","c__Firmicutes_unclassified","c__Fusobacteriia","c__Gammaproteobacteria","c__Lentisphaeria","c__Methanobacteria","c__Negativicutes","c__Proteobacteria_unclassified","c__Spirochaetia","c__Synergistia","c__Thermoplasmata","c__Tissierellia","c__Verrucomicrobiae"
"52-tB",1.42543,0.07277,40.02185,0,0,48.04734,2.73711,0,0,0.15244,4.06845,0,0,0,0,0.6462,0,0,0.01933,0,0,2.80908
"52-tP",8.02508,2.11828,32.75359,0.28539,0,48.42502,1.69505,0,0,0.19281,3.16978,0,0.19109,0,0,0.1395,0,0,0,0,0,3.00441
"54-rB",3.81441,0,29.26213,0,0,60.21795,0.39643,0.08342,0,0.16424,2.108,0,1.09555,0,2.04107,0,0,0,0.79659,0,0.02023,0
"54-rP",2.42875,0,29.80013,0,0,63.43346,0.22661,0.14965,0,0.01459,1.64431,0,0.12584,0,1.33929,0,0,0,0.83736,0,0,0
"54-tB",1.11993,0,32.74903,0,0,61.1232,0.15596,0.11467,0,0.00139,1.73662,0,1.84364,0,0.93825,0.03705,0,0,0.18024,0,0,0
"54-tP",1.75522,0,27.25224,0,0,66.56111,0.16047,0.09675,0,0.10922,1.48058,0,0.42473,0,1.32065,0,0,0,0.83902,0,0,0
"55-rB",0.69618,0.22203,40.41287,0.09589,0,27.44469,0.62395,0,0,0,0.16171,0,28.01926,0.24241,0.30369,1.35057,0.42675,0,0,0,0,0
"55-rP",0.65932,0.07449,35.43525,0.05631,0,22.99903,0.6052,0,0,0.07921,0.19157,0,37.52121,0.41855,0.60081,0.96553,0.30932,0,0,0.08418,0,0
"55-tB",0.37365,0.41998,31.54817,0.08833,0,23.79758,0.69485,0,0,0,0.1264,0,41.39993,0.33033,0.16749,0.52061,0.53027,0,0,0.0024,0,0
"55-tP",0.53947,0.2511,25.41339,0.14506,0,27.41747,0.82104,0,0,0.01262,0.69693,0,42.67755,0.6435,0.24538,0.64707,0.29922,0,0,0.1902,0,0
"57-rB",0.30445,0.63891,51.7622,0.09782,0,39.49992,3.93042,0,0,0.25355,0.47325,0,0.9203,0,1.06985,0.9031,0.14622,0,0,0,0,0
"57-rP",0.83009,0.88504,47.10145,0.17438,0,38.59528,2.9185,0,0,0.38247,1.56232,0,0,0,6.46496,0.99652,0.08901,0,0,0,0,0
"57-tB",0.7263,0.60444,52.77796,0.07129,0,39.09435,2.83147,0,0,0.05451,1.01979,0,0.60354,0,1.11436,0.84935,0.25267,0,0,0,0,0
"57-tP",1.43196,1.76045,33.17879,0.25153,0,52.42234,5.6905,0,0,0.34329,1.9874,0,0,0,2.29765,0.63406,0.00205,0,0,0,0,0
"58-rB",0,0.11931,88.15096,0.04945,0,9.86979,1.01577,0.11173,0.17383,0.22253,0.01525,0,0,0,0,0.27138,0,0,0,0,0,0
"58-rP",0.6051,0.42548,75.32656,0.05234,0,15.99623,1.77782,1.67618,0,0.88429,1.02725,0,0.57053,0,0.13379,1.50252,0,0,0.02191,0,0,0
"58-tB",0,0.36596,36.13718,0.09907,0,54.38416,2.21191,0.32294,0,1.93831,0.49748,0,3.9533,0,0,0.08969,0,0,0,0,0,0
"58-tP",0,0.25823,26.88404,0.33028,0,62.22018,3.16634,1.10159,0,2.86118,0.35934,0,0.66509,0,0.66883,1.4849,0,0,0,0,0,0
"60-rB",0,0,76.87991,1.9786,0,15.1128,0.15685,0.09244,0,0.10923,0,0,0.1866,0,0,0,0.05432,0,0,0,0,5.42926
"60-rP",0.35962,0,58.80168,2.23629,0,33.26561,0.21652,0.10707,0,0.18159,0,0,0.12323,0,0,0,0.0667,0,0,0,0,4.64169
"60-tB",0,0.12398,81.50701,0.85939,0,15.26972,0.17635,0.03957,0,0.07736,0,0,0.12308,0,0,0,0.02191,0,0,0,0,1.80163
"60-tP",0,0,80.01319,1.32335,0,12.35698,0.18715,0.04213,0,0.03972,0,0,0.08845,0,0.04945,0,0.03901,0,0,0,0,5.86058
"61-rB",0,0,68.1431,2.45445,0,21.18977,2.50038,0.02104,0,0.01764,0.87292,0,1.22791,0,0,3.46784,0.08751,0,0,0,0,0.01745
"61-rP",0,0.00753,63.63877,2.15367,0,15.71246,1.95765,0.08525,0,0,0.33677,0,1.29078,0,0,4.68333,0.08487,0,0,0,0,10.04892
"61-tB",0,0,68.97457,2.42321,0,20.30498,1.42003,0.01832,0,0,0.28855,0,0.3912,0,0,2.61922,0.07244,0,0,0,0,3.48749
"61-tP",0,0.03139,54.04538,1.83746,0,20.81704,3.29288,0.08245,0,0,0.01803,0,2.11376,0,0,4.88401,0.06345,0,0,0,0,12.81414
"62-rB",0,0,54.68378,0,0,35.87253,0.36764,0.17116,0,0.23167,0.17178,0,0.2211,0,0,0.99401,0,0,0,0,0,7.28632
"62-rP",0,0,52.25766,0,0,43.08082,0.55548,0.50425,0,0.13105,0.17385,0,0.42472,0,0,1.21363,0,0,0,0,0,1.65853
"62-tB",0,0.05647,57.57836,0,0,22.66367,0.49768,0.29242,0,0.06227,0.19821,0,3.0484,0,0,1.00618,0,0,0,0,0,14.59634
"62-tP",0,0.0683,65.21962,0,0,24.78611,0.19045,0.3584,0,0,0,0,0.40405,0,0,1.12101,0,0,0,0,0,7.85206
"64-rB",10.1498,0.20774,16.25701,0.2079,0,38.99109,2.76577,0.20937,0,0.37528,0.39303,0,24.03823,0,0.27557,0.33464,1.65375,0,0,0,0,4.14084
"64-rP",0.2253,0,17.23389,0.12619,0,64.82016,0.43733,0.24778,0,0.18445,0.66531,0,12.38585,0,0.14079,0.03317,0.98212,0,0,0,0,2.51767
"64-tB",0.92444,0.09482,21.27275,0.19462,0,53.16805,0.64482,0.13008,0,0.22921,0.56663,0,12.14344,0,0.129,1.67486,1.19767,0,0,0,0,7.62962
"64-tP",0.19882,0,16.32881,0.08244,0,66.66923,0.06945,0.00395,0,0.0103,0.15357,0,14.68562,0,0.10866,0.11552,0.69333,0,0,0,0,0.88031
"66-rB",0,0.16082,49.27262,0,0,12.85485,1.01553,0,0,0.02172,1.01053,0,0,0,1.04833,0.24674,0,0,0,0,0,34.36886
"66-rP",0.01212,0.0727,65.99915,0,0,16.78436,1.42625,0,0,0.15228,0.99695,0,0,0,1.32522,0,0,0,0,0,0,13.23096
