"","p__Actinobacteria","p__Bacteroidetes","p__Candidatus_Melainabacteria","p__Euryarchaeota","p__Firmicutes","p__Fusobacteria","p__Lentisphaerae","p__Proteobacteria","p__Spirochaetes","p__Synergistetes","p__Verrucomicrobia"
"66-rB",1.01553,49.27262,0,1.04833,14.29466,0,0,0,0,0,34.36886
"66-rP",1.43837,65.99915,0,1.32522,18.0063,0,0,0,0,0,13.23096
"66-tB",1.20943,67.62149,0,2.77918,19.38008,0,0,0.0081,0,0,9.00171
"66-tP",1.23138,69.68622,0,0.74237,15.92837,0,0,0.03015,0,0,12.38151
"68-rB",0.45219,65.70097,0,0.81146,33.00407,0,0,0.03131,0,0,0
"68-rP",0.52077,63.81659,0,1.15241,33.93968,0,0,0.56778,0,0,0.00278
"68-tB",0.69264,67.45448,0,0.60864,30.34683,0,0,0.6332,0,0,0.26421
"68-tP",0.40936,70.2812,0,0.92796,27.3901,0,0,0.82829,0,0,0.1631
"7-rB",4.43788,55.39497,0,0,36.5327,0.02455,0,3.60991,0,0,0
"7-rP",5.56198,28.46334,0,0,61.18961,0,0,4.78506,0,0,0
"7-tB",0.96707,51.09735,0,0,45.13326,0,0,2.80232,0,0,0
"7-tP",6.9839,42.24533,0,0,46.59914,0,0,4.17163,0,0,0
"70-rB",1.98374,49.35821,0,0.08422,36.26232,0,0,2.10697,0,0,10.20455
"70-rP",1.06674,57.33684,0,0,31.34943,0,0,1.81483,0,0,8.43216
"70-tB",2.59827,40.39915,0,0.26679,46.53376,0,0,1.11695,0,0,9.08508
"70-tP",1.26095,48.6866,0,0.18634,40.51045,0,0,1.59456,0,0,7.7611
"71-rB",0.58476,84.69897,0,0,14.60689,0,0,0.10938,0,0,0
"71-rP",0.64115,79.61032,0,0,19.55731,0,0,0.19121,0,0,0
"71-tB",4.29425,49.11596,0,0,45.9104,0,0,0.67938,0,0,0
"71-tP",0.93696,72.55343,0,0,25.89565,0,0,0.61396,0,0,0
"76-rP",4.73818,46.74088,0,0,47.68276,0,0,0.10547,0,0,0.7327
"76-tB",5.28893,52.31991,0,0,38.10808,0,0,0.16557,0,0,4.11751
"76-tP",6.92577,44.33467,0,0,42.94616,0,0,0.15075,0,0,5.64265
"77-rB",3.13304,70.86542,0,0,25.82711,0,0,0.17443,0,0,0
"77-rP",0.34924,76.3445,0,0,23.30626,0,0,0,0,0,0
"77-tB",2.50355,61.36457,0,0,32.17529,0,0,3.95658,0,0,0
"77-tP",0.3516,87.61242,0,0,11.99558,0,0,0.0404,0,0,0
"79-rB",2.73469,80.41758,0,0,15.9154,0,0,0.70493,0,0,0.2274
"79-rP",5.00016,63.21957,0,0,27.40501,0,0,1.71781,0,0,2.65744
"79-tB",4.06863,56.88446,0,0,31.40933,0,0,1.95391,0,0,5.68366
"79-tP",4.45857,70.67164,0,0,22.53492,0,0,1.04085,0,0,1.29402
"81-rB",0.59529,50.38149,0,0,45.12266,0,0,3.90056,0,0,0
"81-rP",0.3803,43.82478,0,0,52.56428,0,0,3.23064,0,0,0
"81-tB",1.09509,44.5247,0,0,50.29128,0,0,4.08892,0,0,0
"81-tP",0.26612,41.8266,0,0,55.53461,0,0,2.37267,0,0,0
"84-rB",0.77241,81.72218,0,0,17.50542,0,0,0,0,0,0
"84-rP",0.77672,81.58514,0,0,17.63814,0,0,0,0,0,0
"84-tB",1.73769,75.32117,0,0,22.94115,0,0,0,0,0,0
"84-tP",1.11127,71.5022,0,0,27.38654,0,0,0,0,0,0
"85-rB",0.99017,76.38667,0,0,22.07311,0,0,0.55005,0,0,0
"85-rP",0.99037,47.27709,0,0,20.26791,0,0,31.46463,0,0,0
"85-tB",2.82885,59.17464,0,0,37.99651,0,0,0,0,0,0
"85-tP",4.03473,61.77844,0,0,27.07834,0,0,7.1085,0,0,0
"95-rB",1.24334,73.00613,0,0,24.72774,0,0,1.02279,0,0,0
"95-rP",6.17403,72.16558,0,0,17.0867,0,0,4.57369,0,0,0
"95-tB",2.84437,70.59862,0,0,25.62549,0,0,0.93152,0,0,0
"95-tP",2.14763,76.328,0,0,15.5949,0,0,5.92947,0,0,0
"96-rB",2.8186,50.08889,0,0,44.89562,0,0,1.16949,0,0,1.0274
"96-rP",2.55558,51.54961,0,0,44.95865,0,0,0.85971,0,0,0.07644
"96-tB",1.88196,48.38017,0,0,46.19444,0,0,1.40385,0,0,2.13958
"96-tP",0.95542,60.16974,0,0,35.5408,0,0,1.94809,0,0,1.38594
"97-rB",3.01154,28.4356,0,1.77848,20.89489,0,0,0.50683,0,0,45.37265
"97-rP",3.39669,52.89207,0,0.57488,23.04148,0,0,0.51986,0,0,19.57502
"97-tP",1.22301,48.99667,0,0.73979,30.63531,0,0,1.0303,0,0,17.37492
"99-rB",1.22868,64.8915,0,0,31.38791,0,0,2.49191,0,0,0
"99-rP",0.65456,87.96442,0,0.03086,10.90661,0,0,0.44355,0,0,0
"99-tB",1.18153,67.12191,0,0,31.01251,0,0,0.68405,0,0,0
"99-tP",1.12743,85.929,0,0.03713,12.44037,0,0,0.46607,0,0,0
