Date,Link Clicks,Cost Per Result,Total Daily Cost
13-Jan,147, $                0.07, $              10.29
14-Jan,208, $                0.08, $              16.64
15-Jan,177, $                0.10, $              17.70
16-Jan,180, $                0.10, $              18.00
17-Jan,166, $                0.10, $              16.60
18-Jan,166, $                0.10, $              16.60
19-Jan,157, $                0.11, $              17.27
20-Jan,151, $                0.11, $              16.61
21-Jan,135, $                0.12, $              16.20
22-Jan,104, $                0.16, $              16.64
23-Jan,114, $                0.14, $              15.96
24-Jan,108, $                0.15, $              16.20
25-Jan,36, $                0.17, $                6.12
