Date,Link Clicks,Cost per result,Total Daily Cost
24-Aug,74,0.24,17.76
25-Aug,91,0.24,21.84
26-Aug,86,0.26,22.36
27-Aug,87,0.25,21.75
28-Aug,97,0.23,22.31
29-Aug,84,0.26,21.84
30-Aug,18,0.25,4.5
1-Sep,132,0.33,43.56
2-Sep,101,0.24,24.24
