"","p_wilcox","direction"
"o__Coriobacteriales",0.0091386387007404,"decrease"
"f__Coriobacteriaceae",0.0091386387007404,"decrease"
"f__Peptostreptococcaceae",0.0253698598220537,"decrease"
"f__Prevotellaceae",0.0224942712224497,"decrease"
"g__Collinsella",0.0144735765347585,"decrease"
"s__Bacteroides_caccae",0.0244914162366539,"increase"
"s__Clostridium_citroniae",0.0360316862182336,"decrease"
"s__Firmicutes_bacterium_CAG_94",0.0253698598220537,"decrease"
