"","p_wilcox","direction"
"o__Enterobacterales",0.045446946073126,"increase"
"g__Monoglobus",0.0108269212771313,"decrease"
"g__Ruthenibacterium",0.0399894714355469,"decrease"
"s__Firmicutes_bacterium_CAG_94",0.0360316862182336,"increase"
"s__Monoglobus_pectinilyticus",0.0108269212771313,"decrease"
"s__Oscillibacter_sp_57_20",0.0366712945648324,"increase"
"s__Ruthenibacterium_lactatiformans",0.0399894714355469,"decrease"
"s__Streptococcus_salivarius",0.0293825411093689,"decrease"
