"","shannon","simpson","richness","invsimpson"
"1-rB",3.23120423794225,0.9315853528415,173,1.07343894679089
"1-rP",3.03999717929833,0.918549260488039,152,1.08867324052788
"1-tB",3.22051602963809,0.936106257268724,141,1.06825479718264
"1-tP",3.26143774996124,0.929740519257839,154,1.07556891335471
"101-rB",3.3189632830444,0.938552496777964,154,1.06547050211148
"101-rP",3.37457998272792,0.942357808331492,162,1.06116805226092
"101-tB",3.3961854903999,0.942626340704526,170,1.06086575010475
"101-tP",3.35304323936895,0.9421665180418,158,1.0613835037127
"102-rB",3.56624762349686,0.948560036593245,157,1.05422952836122
"102-rP",3.52061156198585,0.940365842598044,146,1.06341591187234
"102-tB",3.46892633185225,0.946031643850631,145,1.05704709403768
"102-tP",3.27792991075405,0.935093758934757,149,1.06941147927154
"17-rB",3.223744881225,0.938532377881359,123,1.06549334212358
"17-rP",3.13510948649531,0.931671694386106,124,1.07333946713806
"17-tB",3.1063570889514,0.929862234470603,153,1.07542812572588
"17-tP",3.23295872877481,0.936770702503526,151,1.06749709115314
"19-rB",3.5299840242242,0.946588777535362,162,1.05642494791002
"19-rP",3.47530792748305,0.944484498700696,156,1.05877862619839
"19-tB",3.49760864945588,0.946242645008808,171,1.0568113847698
"19-tP",3.4188713511963,0.942740482415635,160,1.06073730645113
"21-rB",3.25328488344655,0.937813177783075,138,1.06631045893803
"21-rP",3.20312744407987,0.93745667756991,123,1.06671596024279
"21-tB",3.20382196325223,0.935380468113449,133,1.06908368742922
"21-tP",3.24751092489445,0.938360667932773,124,1.06568831598944
"24-rB",3.67422014548655,0.949352354504661,180,1.05334968123797
"24-rP",3.51325738054742,0.947048935387849,171,1.05591164578044
"24-tB",3.609021299941,0.951017673347935,141,1.05150516969851
"24-tP",3.54625298675487,0.946953074112741,148,1.05601853707161
"3-rB",3.43218383312342,0.940348621106417,165,1.06343538721139
"3-rP",3.09860250050859,0.921548247239665,152,1.08513038030871
"3-tB",3.18110935043834,0.926830872430767,172,1.07894550100315
"5-rB",3.12922119557895,0.92912464349204,124,1.07628186057102
"5-tB",3.23985882242789,0.93910278949307,125,1.0648461608125
"5-tP",3.16138523442347,0.933642397012556,128,1.07107389638664
"52-rB",3.54314251925971,0.948448080066914,160,1.05435397152098
"52-rP",3.39615353439701,0.942101077466882,174,1.06145722992781
"52-tB",3.43951294864698,0.945445294746486,144,1.0577026566811
"52-tP",3.57937831731588,0.949277682032201,173,1.05343254026494
"54-rB",3.46934534871849,0.944546525555224,134,1.05870909790513
"54-rP",3.36573760306012,0.941285413129776,134,1.06237702831811
"54-tB",3.38775757647629,0.941725419029938,135,1.06188064991395
"54-tP",3.3606723994901,0.939916633840929,128,1.06392414390364
"55-rB",3.53822539284822,0.950205856967346,187,1.0524035320005
