"","shannon","simpson","richness","invsimpson"
"55-rP",3.50544248604733,0.949483288820528,175,1.0532044236842
"55-tB",3.44800860523461,0.947395533279773,177,1.05552534804351
"55-tP",3.49856139008356,0.948166506782162,188,1.05466707888021
"57-rB",3.4882338100201,0.94464841137558,183,1.05859490997695
"57-rP",3.65908575555987,0.951059275260662,163,1.05145917400987
"57-tB",3.44824445911937,0.94280882540926,182,1.06066041497428
"57-tP",3.61147262433373,0.947861784971421,175,1.05500613681788
"58-rB",2.4842122355893,0.888533833000423,121,1.12544954717501
"58-rP",3.33201245478485,0.931037457775638,216,1.07407064200094
"58-tB",3.43162647527517,0.944049895232735,159,1.05926604626493
"58-tP",3.49797374826083,0.942650010238377,167,1.06083911222482
"60-rB",3.14290443191211,0.9243900062724,136,1.0817944733441
"60-rP",3.33156133600876,0.940248025108625,139,1.0635491628759
"60-tB",2.89631486630763,0.912760060431328,131,1.09557817366313
"60-tP",3.03582602127676,0.918279830628341,138,1.08899266503081
"61-rB",3.35854380018662,0.935330095433506,150,1.06914126347717
"61-rP",3.47471717372061,0.941261707197994,152,1.06240378457216
"61-tB",3.34271656338789,0.934191349674643,149,1.07044450834219
"61-tP",3.56834181062446,0.948085193801036,154,1.05475753290781
"62-rB",3.37540021105238,0.944349005318644,119,1.05893053772273
"62-rP",3.36078794559794,0.942040930160174,128,1.06152500171088
"62-tB",3.41467485013925,0.945531930415235,130,1.05760574321466
"62-tP",3.17578782398467,0.934046967335447,105,1.07060997462761
"64-rB",3.65068481994856,0.955548446852469,147,1.04651941332117
"64-rP",3.27830252724726,0.937361892855899,148,1.06682382505785
"64-tB",3.6131298779668,0.950815757551476,160,1.05172846795806
"64-tP",3.22261997321916,0.936456221615785,125,1.067855578208
"66-rB",3.27262671671152,0.942679617377995,143,1.0608057939997
"66-rP",3.26489967348578,0.936080609942587,131,1.06828406590041
"66-tB",3.2927088848312,0.936749645156433,138,1.06752108759326
"66-tP",3.19843456050838,0.931992260107147,126,1.07297028398609
"68-rB",3.16060718038577,0.935725025315325,121,1.06869002425474
"68-rP",3.23184412008144,0.937362233989127,136,1.06682343680981
"68-tB",3.20738583715462,0.935088821514484,135,1.06941712593718
"68-tP",3.17756614640349,0.933443667199168,129,1.07130192762519
"7-rB",3.3337371130735,0.937751628886129,155,1.06638044573467
"7-rP",3.59875885658397,0.946690743713177,161,1.05631116247924
"7-tB",3.06368510727564,0.933375849472168,90,1.07137976685974
"7-tP",3.52879195667146,0.946210330920749,163,1.05684747600135
"70-rB",3.51682865644201,0.948062696118432,165,1.05478256247631
"70-rP",3.39274983177247,0.942521492632043,138,1.06098376304125
"70-tB",3.55442885411075,0.949498968259003,152,1.053187031718
"70-tP",3.48374453064203,0.947068894899395,150,1.05588939240395
"71-rB",2.94561738254625,0.912703636118118,122,1.09564590347549
"71-rP",2.93978600242375,0.915079366404722,124,1.09280138610154
"71-tB",3.46676428477194,0.944857036672837,139,1.05836117125331
"71-tP",3.08781945411764,0.925104910154201,129,1.08095848267989
"76-rP",3.42093171743785,0.943968764967961,141,1.05935708586072
"76-tB",3.44720484554436,0.944909207384795,136,1.05830273658533
"76-tP",3.54680080613855,0.949558556118478,140,1.05312094083772
"77-rB",3.08978200002537,0.927777816731586,120,1.07784426612272
"77-rP",2.87755553828494,0.917843916558373,98,1.08950986323436
"77-tB",3.24428825131437,0.932633014230565,170,1.07223311285524
"77-tP",2.68261454625833,0.900676971001505,110,1.11027597262541
"79-rB",2.92584363405253,0.912198139850864,144,1.09625305765641
"79-rP",3.49901548240535,0.942624513875423,169,1.06086780608823
"79-tB",3.60180395748841,0.94764390470032,160,1.05524870158505
"79-tP",3.14350245016724,0.926455026851584,138,1.0793832091325
"81-rB",3.22338523762139,0.938144014462556,113,1.06593442433556
"81-rP",3.23228906657871,0.939031476166461,116,1.06492702894523
"81-tB",3.31098892391557,0.940948552605521,123,1.06275736035829
"81-tP",3.18769023574058,0.937862238098251,114,1.06625467939486
"84-rB",2.78884210443743,0.911870582098,86,1.09664684839293
"84-rP",2.77900326407626,0.910693776038643,61,1.09806394455645
"84-tB",2.91872571504461,0.919397347100916,100,1.08766900747891
"84-tP",2.98299872046519,0.924555776970519,94,1.08160051011383
"85-rB",3.00824207004329,0.925685842700724,85,1.08028010570245
"85-rP",3.28278291612573,0.944247014590979,113,1.05904491573444
"85-tB",3.14599797449492,0.934673334350134,96,1.06989251030178
"85-tP",3.48407502283196,0.939536408775774,158,1.06435470798094
"95-rB",3.18540609848419,0.932775725582957,134,1.07206906502099
"95-rP",3.26419411283719,0.933744610305254,131,1.07095665020555
"95-tB",3.22992576869628,0.932984185621496,129,1.07182952874369
"95-tP",3.17294630660256,0.928399457106035,128,1.07712256006391
"96-rB",3.44111798211237,0.944366515900227,154,1.05891090287836
"96-rP",3.29511225961768,0.942242256678345,84,1.06129818835048
"96-tB",3.52611082842957,0.946650687505425,157,1.05635585881753
"96-tP",3.37915051843186,0.94101561742502,148,1.06268161918118
"97-rB",3.4029090277914,0.945344668222728,168,1.05781524306899
"97-rP",3.52333837461361,0.948718233653457,171,1.05405373748227
"97-tP",3.54936889623698,0.950028232067605,160,1.05260029780761
"99-rB",3.32242397479605,0.937682485903251,143,1.06645907866853
"99-rP",2.87602006957857,0.914769923547038,114,1.09317105236963
"99-tB",3.255991900982,0.936269206770085,128,1.06806887673874
"99-tP",2.95248737984642,0.917352036161774,134,1.09009405395123
