"","p_wilcox","direction"
"p__Firmicutes",0.017181396484375,"increase"
"c__Clostridia",0.0239505767822266,"increase"
"o__Clostridiales",0.0239505767822266,"increase"
"f__Eubacteriaceae",0.0294419565651354,"increase"
"f__Lachnospiraceae",0.0362339019775391,"increase"
"f__Tannerellaceae",0.0484409332275391,"increase"
"g__Dialister",0.0360316862182336,"increase"
"g__Eubacterium",0.0294419565651354,"increase"
"g__Lachnospira",0.0224942712224497,"increase"
"g__Lachnospiraceae_unclassified",0.0287678605974676,"increase"
"g__Parabacteroides",0.0484409332275391,"decrease"
"s__Bacteroides_massiliensis",0.0208625823327655,"decrease"
"s__Blautia_obeum",0.00326371690167023,"increase"
"s__Dialister_invisus",0.0360316862182336,"increase"
"s__Eubacterium_eligens",0.00574194154874128,"increase"
"s__Eubacterium_ramulus",0.0346105575157073,"increase"
"s__Eubacterium_rectale",0.0287678605974676,"increase"
"s__Lachnospira_pectinoschiza",0.0224942712224497,"increase"
"s__Oscillibacter_sp_57_20",0.0249324556028631,"increase"
"s__Ruminococcus_bicirculans",0.045446946073126,"increase"
"s__Ruminococcus_lactaris",0.0360316862182336,"increase"
