"","sample","project","paaScore","paaBin","scoreGenus","paaBinGenus"
"82","FF05466537","fitness",0,FALSE,-0.430063333333333,FALSE
"83","FF05466551","fitness",0.42113,TRUE,0.608612222222222,FALSE
"84","FF05466560","fitness",0,FALSE,-0.0635422222222222,FALSE
"85","FF05466562","fitness",0,FALSE,-1.07498444444444,FALSE
"86","FF05466564","fitness",0.29733,TRUE,0.360263333333333,FALSE
"87","FF05466567","fitness",0,FALSE,0.132518888888889,FALSE
"88","FF05466568","fitness",0.13148,TRUE,0.959086666666667,FALSE
"89","FF05466580","fitness",0,FALSE,0.426204444444444,FALSE
"90","FF05466581","fitness",0,FALSE,0.426204444444444,FALSE
"91","FF05466582","fitness",0,FALSE,-0.37269,FALSE
"92","FF05466584","fitness",0,FALSE,0.531752222222222,FALSE
"93","FF05466588","fitness",0.15273,TRUE,0.722302222222222,FALSE
"94","FF05466594","fitness",0,FALSE,-1.01616111111111,FALSE
"95","FF05466597","fitness",0,FALSE,0.531752222222222,FALSE
"96","FF05466606","fitness",0,FALSE,-0.274825555555555,FALSE
"97","FF05466611","fitness",0,FALSE,0.687456666666667,FALSE
"98","FF05466614","fitness",0,FALSE,1.53522777777778,FALSE
"99","FF05466617","fitness",2.25436,TRUE,0.286431111111111,FALSE
"100","FF05466619","fitness",0,FALSE,0.709176666666667,FALSE
"101","FF05466624","fitness",0,FALSE,-1.01616111111111,FALSE
"102","FF05466627","fitness",0,FALSE,0.483018888888889,FALSE
"103","FF05466731","fitness",0,FALSE,0.531752222222222,FALSE
"104","FF05466734","fitness",0,FALSE,0.426204444444444,FALSE
"105","FF05466735","fitness",0.15273,TRUE,0.722302222222222,FALSE
"106","FF05466738","fitness",0.01633,TRUE,0.31245,FALSE
"107","FF05466747","fitness",0.00772,TRUE,0.962416666666667,FALSE
"108","FF05466751","fitness",0,FALSE,0.337408888888889,FALSE
"109","FF08034088","bewell",0.009695,FALSE,-3.4943175,FALSE
"110","FF08034120","bewell",0.100005,FALSE,1.4345825,FALSE
"111","FF08034123","bewell",0.21936,FALSE,-0.21488125,FALSE
"112","FF08034160","bewell",0.422385,FALSE,0.6824975,FALSE
"113","FF08034193","bewell",0.27041,FALSE,0.17196625,FALSE
"114","FF08034250","bewell",0.0064,FALSE,-0.0267724999999999,FALSE
"115","FF08034274","bewell",0.168845,FALSE,1.01768125,FALSE
"116","FF08034332","bewell",0.00343,FALSE,-0.39985125,FALSE
"117","FF08034347","bewell",0.0051,FALSE,0.0572837500000001,FALSE
"118","FF08034356","bewell",0.06145,FALSE,0.58852625,FALSE
"119","FF08034360","bewell",0.025935,FALSE,-1.70445625,FALSE
"120","FF08034417","bewell",0.000495,FALSE,-0.58186625,FALSE
"121","FF08034437","bewell",0.004185,FALSE,-1.123995,FALSE
"122","FF08034444","bewell",0.042735,FALSE,-0.26090625,FALSE
"123","FF08034460","bewell",0.00831,FALSE,-0.74378375,FALSE
"124","FF08034463","bewell",0.02325,FALSE,-0.98966125,FALSE
"125","FF08034468","bewell",0.046065,TRUE,0.2413675,FALSE
"126","FF08034501","bewell",0.010695,FALSE,-1.18743125,FALSE
"127","FF08034505","bewell",9e-04,FALSE,0.10988,FALSE
"128","FF08034510","bewell",0.034315,FALSE,-0.34732875,FALSE
"129","FF08034537","bewell",0.05461,FALSE,-0.306895,FALSE
"130","FF08034538","bewell",0.27979,FALSE,0.30432875,FALSE
