"","term","estimate","std.error","statistic","p.value","padj"
"420","DENITRIFICATION.PWY..nitrate.reduction.I..denitrification.",-0.674368079956986,49.5772096960624,-0.0136023806924847,0.989147205128964,1
"421","PWY.7196..superpathway.of.pyrimidine.ribonucleosides.salvage",-0.55468984673962,40.8361952759881,-0.0135832891137579,0.989162436597684,1
"422","PWY.7031..protein.N.glycosylation..bacterial.",-1.46554856153364,109.666469891965,-0.013363688673278,0.989337636495166,1
"423","PWY.6748..nitrate.reduction.VII..denitrification.",-1.67520463068177,127.865205248863,-0.0131013329812543,0.989546947724739,1
"424","PWY66.388..ceramide.degradation.by..alpha..oxidation",-5.91067409124813,464.527245203357,-0.0127240633402689,0.989847940250298,1
"425","P241.PWY..coenzyme.B.biosynthesis",-1.91997303929201,152.341541727407,-0.0126030826360385,0.989944461146651,1
"426","PWY.7279..aerobic.respiration.II..cytochrome.c...yeast.",-6.2795305997576,506.823888607966,-0.0123899657078218,0.990114490576318,1
"427","PWY.5088..L.glutamate.degradation.VIII..to.propanoate.",-0.896306347380842,75.2209999579483,-0.0119156398862274,0.990492919876351,1
"428","PWY.7245..superpathway.of.NAD.NADP...NADH.NADPH.interconversion..yeast.",-0.217062651445858,18.6885842772409,-0.0116147188158173,0.990733003534847,1
"429","PWY.8131..5.deoxyadenosine.degradation.II.99.6039176180.PWY.8131..5.deoxyadenosine.degradation.II",0.633026679753803,55.1797910731372,0.0114720746027249,0.990846809567485,1
"430","PWY.8131..5.deoxyadenosine.degradation.II.88.4188648691.PWY.8131..5.deoxyadenosine.degradation.II",0.471714467988366,41.1184972486453,0.0114720746027241,0.990846809567485,1
"431","PWY.8131..5.deoxyadenosine.degradation.II.154.5286988328.PWY.8131..5.deoxyadenosine.degradation.II",0.486277048853859,42.3878910915055,0.0114720746027232,0.990846809567486,1
"432","PWY.8131..5.deoxyadenosine.degradation.II.136.3653524206.PWY.8131..5.deoxyadenosine.degradation.II",0.404898834170534,35.294299260786,0.011472074602722,0.990846809567487,1
"433","PWY.5695..inosine.5.phosphate.degradation.2664.0676097022.PWY.5695..inosine.5.phosphate.degradation",0.0432456888850799,3.76964850600008,0.0114720746022465,0.990846809567867,1
"434","PYRIDOXSYN.PWY..pyridoxal.5.phosphate.biosynthesis.I.1404.3443980861.PYRIDOXSYN.PWY..pyridoxal.5.phosphate.biosynthesis.I",0.0519474682956969,4.52816688321814,0.0114720746022457,0.990846809567867,1
"435","PYRIDOXSYN.PWY..pyridoxal.5.phosphate.biosynthesis.I.320.1370710986.PYRIDOXSYN.PWY..pyridoxal.5.phosphate.biosynthesis.I",0.551347551668855,48.0599691673124,0.0114720746022419,0.99084680956787,1
"436","PWY.6123..inosine.5.phosphate.biosynthesis.I.162.1017792312.PWY.6123..inosine.5.phosphate.biosynthesis.I",0.289500148687124,25.2352045052578,0.0114720746022409,0.990846809567871,1
"437","PWY.6124..inosine.5.phosphate.biosynthesis.II.1548.0115396579.PWY.6124..inosine.5.phosphate.biosynthesis.II",0.109011377594988,9.50232467750003,0.0114720746022402,0.990846809567872,1
"438","PWY.6124..inosine.5.phosphate.biosynthesis.II.1100.0645529914.PWY.6124..inosine.5.phosphate.biosynthesis.II",0.0967765141255899,8.43583375117989,0.0114720746022353,0.990846809567875,1
"439","PWY.5695..inosine.5.phosphate.degradation.1568.0988048653.PWY.5695..inosine.5.phosphate.degradation",0.0487542823552615,4.24982263851081,0.0114720746022346,0.990846809567876,1
"440","PWY.5695..inosine.5.phosphate.degradation.1539.9401720426.PWY.5695..inosine.5.phosphate.degradation",0.0719718734745709,6.27365807580737,0.0114720746022342,0.990846809567876,1
"441","PWY.6123..inosine.5.phosphate.biosynthesis.I.1541.2099046168.PWY.6123..inosine.5.phosphate.biosynthesis.I",0.0485808986343313,4.23470909305905,0.0114720746022338,0.990846809567877,1
"442","PWY.7234..inosine.5.phosphate.biosynthesis.III.97.3718152961.PWY.7234..inosine.5.phosphate.biosynthesis.III",0.479976558723595,41.8386887608453,0.0114720746022227,0.990846809567885,1
"443","PWY.6124..inosine.5.phosphate.biosynthesis.II.1651.3211898901.PWY.6124..inosine.5.phosphate.biosynthesis.II",0.081230685589388,7.08073198666955,0.0114720746022185,0.990846809567889,1
"444","PWY.5695..inosine.5.phosphate.degradation.1493.8104913987.PWY.5695..inosine.5.phosphate.degradation",0.0875807404641216,7.63425478834397,0.0114720746022048,0.9908468095679,1
"445","PWY.8131..5.deoxyadenosine.degradation.II.292.7590307295.PWY.8131..5.deoxyadenosine.degradation.II",0.185917492413237,16.2060916495069,0.0114720746022002,0.990846809567903,1
