"abbrieve","formal","estimate","std.error","statistic","p.value","padj"
"cy.hex"," cyanidin 3-hexose ",2.1670852487904,0.537430372439603,4.03230885324394,5.52315340924109e-05,0.000518019841842212
"peon.sam","peonidin-3- sambubioside",13.2893417159353,3.32667103431324,3.99478685414375,6.47524802302765e-05,0.000518019841842212
"peon.gluA","peonidin glucuronide ",1.79125896139309,0.488189728771699,3.66918608857248,0.000243323917207193,0.00129772755843837
"cy.sam","cyanidin-3-sambubioside",4.0474396219206,1.14295942608788,3.54119274012567,0.000398322490467462,0.00159328996186985
"cy.xyrut","cyanidin-3-xylrutinoside",2.28992377805029,1.14532452553853,1.99936675325586,0.0455686864184955,0.145819796539186
"pca","Protocatechuic acid",0.0811433881220208,0.0647147569859127,1.25386220857917,0.209892093267272,0.559712248712726
"cy.sulf","cyanidin sulfate",0.286623207841256,0.349812441019261,0.819362533265288,0.41257960453634,0.893778165366823
"vanillic.acid","vanillic acid",-0.0073114480067043,0.0102279439094952,-0.714850225167604,0.474701596398544,0.893778165366823
"cy.gluA","cyanidin glucuronide",-0.0158898332614066,0.0237101970140563,-0.670168757011443,0.502750218018838,0.893778165366823
"ferulic.acid","ferulic acid",-0.10132665761686,0.247537439851208,-0.409338715298042,0.682291107480886,0.996878501462499
"cy.glc.sulf","Cyanidin-3-gluside sulfate",-0.000649776075477729,0.00402838239832114,-0.161299502189397,0.871857515321895,0.996878501462499
"pga","phloroglucinaldehyde",-0.0252597351339737,0.194853190479376,-0.129634701242664,0.896855447272326,0.996878501462499
"peon.rut","peonidin -3-rutinoside",20.7756831675389,4392.25420315888,0.0047300730346156,0.996225961827347,0.996878501462499
"peon.hex","peonidin-3- hexose",60.9203700990094,14536.766290861,0.00419077866975883,0.996656252189159,0.996878501462499
"cy.rut","cyanidin-3-rutinoside",10.3190385394384,2512.02769500128,0.00410785221833836,0.996722417354831,0.996878501462499
"peon.xyrut","peonidin 3-xylrutinoside",35.779782148783,9145.62752426351,0.0039122282264239,0.996878501462499,0.996878501462499
