sample	percent	reads	taxReads	kmers	cov	taxID	rank	taxName
FF08034365	0.4942	78093	78093	6854	1.688e-05	75079	species	Rubus occidentalis
FF08034366	0.3629	59654	59654	23003	5.667e-05	75079	species	Rubus occidentalis
FF08034372	0.5712	65384	65384	32591	8.029e-05	75079	species	Rubus occidentalis
FF08034373	0.2845	28340	28340	57223	0.000141	75079	species	Rubus occidentalis
FF08034375	0.4242	64523	64523	6502	1.602e-05	75079	species	Rubus occidentalis
FF08034378	0.3433	30368	30368	7128	1.756e-05	75079	species	Rubus occidentalis
FF08034389	0.7419	95687	95687	7871	1.939e-05	75079	species	Rubus occidentalis
FF08034397	0.3043	32833	32833	6315	1.556e-05	75079	species	Rubus occidentalis
FF08034398	0.2874	29440	29440	6484	1.597e-05	75079	species	Rubus occidentalis
FF08034403	0.3058	26766	26766	4669	1.15e-05	75079	species	Rubus occidentalis
FF08034408	0.4508	23435	23435	147556	0.0003635	75079	species	Rubus occidentalis
FF08034409	0.447	48129	48129	5594	1.378e-05	75079	species	Rubus occidentalis
FF08034410	0.4269	17710	17710	11820	2.912e-05	75079	species	Rubus occidentalis
FF08034411	0.2309	22628	22628	4897	1.206e-05	75079	species	Rubus occidentalis
FF08034412	0.2312	21600	21600	8185	2.016e-05	75079	species	Rubus occidentalis
FF08034414	0.2374	17700	17700	3824	9.42e-06	75079	species	Rubus occidentalis
FF08034416	0.2243	16583	16583	25935	6.389e-05	75079	species	Rubus occidentalis
FF08034417	0.5264	66219	66219	7056	1.738e-05	75079	species	Rubus occidentalis
FF08034421	0.2765	22275	22275	4620	1.138e-05	75079	species	Rubus occidentalis
FF08034427	0.2523	16829	16829	3956	9.746e-06	75079	species	Rubus occidentalis
FF08034431	0.2226	24270	24270	5065	1.248e-05	75079	species	Rubus occidentalis
FF08034433	0.2808	26828	26828	5404	1.331e-05	75079	species	Rubus occidentalis
FF08034435	0.2192	19884	19884	5418	1.335e-05	75079	species	Rubus occidentalis
FF08034437	0.2634	21845	21845	11057	2.724e-05	75079	species	Rubus occidentalis
FF08034440	1.118	15247	15247	3804	9.371e-06	75079	species	Rubus occidentalis
FF08034443	0.2998	23591	23591	5087	1.253e-05	75079	species	Rubus occidentalis
FF08034444	0.2547	23586	23586	7269	1.791e-05	75079	species	Rubus occidentalis
FF08034446	0.2524	22240	22240	4821	1.188e-05	75079	species	Rubus occidentalis
FF08034447	0.2631	22401	22401	10303	2.538e-05	75079	species	Rubus occidentalis
FF08034450	0.2728	29572	29572	4910	1.21e-05	75079	species	Rubus occidentalis
FF08034452	0.2758	26149	26149	5151	1.269e-05	75079	species	Rubus occidentalis
FF08034455	0.2273	20785	20785	4614	1.137e-05	75079	species	Rubus occidentalis
FF08034460	0.5241	74498	74498	11236	2.768e-05	75079	species	Rubus occidentalis
FF08034461	0.6098	31859	31859	10907	2.687e-05	75079	species	Rubus occidentalis
FF08034463	0.292	27804	27804	12781	3.149e-05	75079	species	Rubus occidentalis
FF08034467	0.235	21232	21232	4752	1.171e-05	75079	species	Rubus occidentalis
FF08034468	0.2873	22833	22833	5164	1.272e-05	75079	species	Rubus occidentalis
FF08034481	0.2549	17406	17406	3690	9.09e-06	75079	species	Rubus occidentalis
FF08034482	0.2643	25380	25380	5132	1.264e-05	75079	species	Rubus occidentalis
FF08034490	0.2379	21769	21769	12456	3.069e-05	75079	species	Rubus occidentalis
FF08034494	0.2849	19788	19788	6065	1.494e-05	75079	species	Rubus occidentalis
FF08034495	0.2384	20428	20428	13260	3.267e-05	75079	species	Rubus occidentalis
FF08034497	0.232	24477	24477	5120	1.261e-05	75079	species	Rubus occidentalis
FF08034500	0.7317	49698	49698	16978	4.183e-05	75079	species	Rubus occidentalis
FF08034501	0.7168	93095	93095	13846	3.411e-05	75079	species	Rubus occidentalis
FF08034504	0.2465	26930	26930	6070	1.495e-05	75079	species	Rubus occidentalis
FF08034505	0.2471	21976	21976	5124	1.262e-05	75079	species	Rubus occidentalis
FF08034510	0.2552	20569	20569	5927	1.46e-05	75079	species	Rubus occidentalis
FF08034515	0.2226	19512	19512	15340	3.779e-05	75079	species	Rubus occidentalis
FF08034519	0.2953	20156	20156	12840	3.163e-05	75079	species	Rubus occidentalis
FF08034521	0.4927	57998	57998	6645	1.637e-05	75079	species	Rubus occidentalis
FF08034525	0.6893	59362	59362	20193	4.975e-05	75079	species	Rubus occidentalis
FF08034528	0.5084	83414	83414	11943	2.942e-05	75079	species	Rubus occidentalis
FF08034530	0.2792	24754	24754	14104	3.475e-05	75079	species	Rubus occidentalis
FF08034534	0.2604	25526	25526	7023	1.73e-05	75079	species	Rubus occidentalis
FF08034537	0.5497	81270	81270	8403	2.07e-05	75079	species	Rubus occidentalis
FF08034538	0.6998	97488	97488	7820	1.926e-05	75079	species	Rubus occidentalis
FF08034540	0.2584	23860	23860	5285	1.302e-05	75079	species	Rubus occidentalis
