Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
"20(1,D3)",76-2,28,23,201,9022,24,45,16,58,4302,197,29,22231,5653,,
"21(1,E3)",76-3,33,32,305,10488.5,24,261,16,114,4497,331,28,22575,3381,,
"22(1,F3)",76-3,30,31,309,10653,21,269.5,14,120,4575,337,27,22378,3098,,
"23(1,G3)",76-4,26,22,219,10835,21,83,14,97,4163,326,25,21993,2838,,
"24(1,H3)",76-4,26,21,220,10778.5,21,80,16,108,4740,335,26,22817,3027,,
"25(1,A4)",77-1,31,30,206,10716,24,351.5,17,137,4292,604.5,28,20951.5,4575,,
"26(1,B4)",77-1,29,28,212,11035.5,23,503,14,132,4695,676,27,21673,3277,,
"27(1,C4)",77-2,28.5,24,225,12307,20,153,13,103,7306.5,990,25,27758,2722,,
"28(1,D4)",77-2,28,25,173,11029.5,26,29,17,80,6676,275,28,23677.5,5246,,
"29(1,E4)",77-3,28,27,223,10838,22,162,14,128,5077,636,27,22359.5,3116,,
"30(1,F4)",77-3,28,23.5,224,10446.5,22,144,15,131,4683,599.5,25,21565,3356,,
"31(1,G4)",77-4,28,24,198,10263,22,136.5,13,112,5102,541,26,21146,3523,,
"32(1,H4)",77-4,26,22,204,10481,21,140,13,127,5520,542,23,21313.5,2540,,
"33(1,A5)",79-1,24,24,315,9772,20,95,13,134,5915,766.5,24,20884,3423,,
"34(1,B5)",79-1,25,23,308.5,9855.5,20,110,13,120,5906,753,25,21216,3579,,
"35(1,C5)",79-2,24,23,269,9309,20,66,14,126,5431.5,638,23,20510,3143,,
"36(1,D5)",79-2,24,23,199,9163.5,22,25,15,97,5164,341,27,18734,5347,,
"37(1,E5)",79-3,25,23,147,10228,23,48,16,122,6518.5,567,27,20307,3244,,
"38(1,F5)",79-3,24,22,156,10092,19.5,57,13.5,128,6298,627,23,20244,2900,,
"39(1,G5)",79-4,25,23,233,9381,21,103.5,14,129,5265,619,25,19067,3222,,
"40(1,H5)",79-4,23,22,253,9456,19,106,12,135.5,5360.5,635,23,19090,2820,,
"41(1,A6)",81-1,23,22,215.5,10845,20,62,14,174,4667,632.5,24,22868.5,3380,,
"42(1,B6)",81-1,21,20,214,10693.5,19,66,11,163.5,5009,672,23,23000,1621,,
"43(1,C6)",81-2,11,17.5,119.5,5881,25,NaN,29,84,4467,496,NaN,14727,25,,
"44(1,D6)",81-2,21,21,114,10848,21,20.5,14,71,4959.5,308.5,26,23190,2895,,
"45(1,E6)",81-3,19,19,159,11135,17,78,13,100,5677.5,661,24,23407.5,447,,
"46(1,F6)",81-3,23,23,148.5,11030,22,55,13,90,5896,575,26,23994.5,3557,,
"47(1,G6)",81-4,25,23,172,9499,22,50,16,109,5740,580.5,26,24095,3838,,
"48(1,H6)",81-4,22,21,167,9335,19,52,14,104.5,4737,551,24,22593,2277,,
"49(1,A7)",84-1,25,24,358,11212,22,84,14,134.5,4307,460,26,18870,3424,,
"50(1,B7)",84-1,30,26,330,11238,23,82,16,129,5993.5,472,28,21186,4605,,
"51(1,C7)",84-2,30,27,239,10228.5,25.5,108,17,102,4573.5,456.5,29,20105,4820,,
"52(1,D7)",84-2,26,25,199,10689,24,34,16,84,6830,342,29,23373,5190,,
"53(1,E7)",84-3,29,25,354,11014,22,103,16,138,4847.5,559,28,20508.5,4789,,
"54(1,F7)",84-3,30,24,326.5,10888,23,124,16,129,7154,817.5,27,27446,3929,,
"55(1,G7)",84-4,46,3124,147.5,7190,17,133,22,86,NaN,NaN,82,13606,25,,
